Density Matrices

state: 0.0     eng: 0.0     s(s+1): 3.6256     ms: 1.4496
0.999087	 0.000079-0.000032j	-0.000109-0.000111j	-0.000502-0.000297j	-0.000166-0.000173j	0.000210+0.000403j	0.000158-0.000024j	-0.005608+0.000593j	-0.000241-0.000779j	0.000736-0.000332j	0.001606-0.002283j	-0.001966+0.010672j	-0.000296-0.001180j	0.001016-0.000939j	
0.000079+0.000032j	0.998243	 -0.000124-0.000026j	0.000595-0.001524j	-0.000196-0.000031j	-0.001119-0.000355j	-0.000045+0.000057j	0.004706-0.010375j	0.000018+0.000565j	0.000326+0.000471j	0.004811+0.006512j	-0.010833-0.011010j	0.000482-0.000348j	0.000101-0.001199j	
-0.000109+0.000111j	-0.000124+0.000026j	0.990388	 -0.000035-0.000022j	-0.012861-0.000617j	-0.000091-0.000028j	0.000505-0.003762j	-0.000010-0.001285j	-0.026980+0.004481j	0.008672-0.005711j	0.000081+0.000193j	-0.000305+0.000310j	-0.014559-0.016010j	0.001880-0.078360j	
-0.000502+0.000297j	0.000595+0.001524j	-0.000035+0.000022j	0.996179	 -0.000082+0.000042j	0.000995+0.001620j	0.000183+0.000009j	-0.024000+0.011117j	-0.000017-0.001445j	0.000138+0.000079j	0.000285-0.021803j	0.005911+0.043352j	0.000068-0.000182j	-0.000086-0.000445j	
-0.000166+0.000173j	-0.000196+0.000031j	-0.012861+0.000617j	-0.000082-0.000042j	0.973506	 -0.000302-0.000007j	-0.000845-0.003600j	-0.000525-0.002593j	-0.047564+0.017581j	0.001412+0.016519j	0.000146-0.000334j	-0.000762+0.001383j	-0.004942-0.007381j	-0.003164-0.147797j	
0.000210-0.000403j	-0.001119+0.000355j	-0.000091+0.000028j	0.000995-0.001620j	-0.000302+0.000007j	0.998584	 -0.000062+0.000035j	0.003798-0.016347j	0.000138+0.000832j	-0.000022-0.000053j	0.009860+0.008824j	-0.022214-0.014624j	-0.000397-0.000101j	-0.000209-0.001471j	
0.000158+0.000024j	-0.000045-0.000057j	0.000505+0.003762j	0.000183-0.000009j	-0.000845+0.003600j	-0.000062-0.000035j	0.993622	 0.001010-0.000782j	-0.002521+0.021072j	-0.038500+0.018009j	0.000079+0.000543j	-0.000333-0.002210j	0.009977+0.053843j	-0.022022-0.004725j	
-0.005608-0.000593j	0.004706+0.010375j	-0.000010+0.001285j	-0.024000-0.011117j	-0.000525+0.002593j	0.003798+0.016347j	0.001010+0.000782j	0.774558	 0.007557-0.006654j	0.001840-0.000122j	0.084387-0.161259j	-0.120754+0.344208j	-0.000759-0.000273j	-0.013237-0.001257j	
-0.000241+0.000779j	0.000018-0.000565j	-0.026980-0.004481j	-0.000017+0.001445j	-0.047564-0.017581j	0.000138-0.000832j	-0.002521-0.021072j	0.007557+0.006654j	0.863198	 -0.076410-0.054375j	-0.009080-0.000313j	0.019367-0.002072j	-0.122617+0.043979j	0.092805-0.270966j	
0.000736+0.000332j	0.000326-0.000471j	0.008672+0.005711j	0.000138-0.000079j	0.001412-0.016519j	-0.000022+0.000053j	-0.038500-0.018009j	0.001840+0.000122j	-0.076410+0.054375j	0.605275	 0.003381-0.005632j	-0.001581+0.000784j	-0.095747+0.452241j	0.089605+0.016560j	
0.001606+0.002283j	0.004811-0.006512j	0.000081-0.000193j	0.000285+0.021803j	0.000146+0.000334j	0.009860-0.008824j	0.000079-0.000543j	0.084387+0.161259j	-0.009080+0.000313j	0.003381+0.005632j	0.837268	 0.299449-0.042252j	0.007225-0.002369j	-0.001248-0.000930j	
